fra	eng	example.llama_src	example.llama_tgt
sirop	syrup	J'ajoute un peu de sirop d'érable dans mon café pour le sucrer.	I add a little maple syrup to my coffee to sweeten it.
fortune	fortune	Il a fait fortune dans l'immobilier après avoir investi dans plusieurs propriétés lucratives.	He made a fortune in real estate after investing in several lucrative properties.
bus	bus	Je prends le bus pour aller au travail tous les matins.	I take the bus to go to work every morning.
collaboration	collaboration	La collaboration entre les chercheurs de différents pays a permis de faire des découvertes importantes dans le domaine de la médecine.	The collaboration between researchers from different countries led to significant discoveries in the field of medicine.
trotter	trot	Le cheval a commencé à trotter doucement autour du champ.	The horse began to trot gently around the field.
expansion	expansion	La société a annoncé une expansion de ses activités en Asie pour le prochain trimestre.	The company announced an expansion of its operations in Asia for the next quarter.
échange	exchange	J'ai participé à un programme d'échange étudiant pour passer un semestre à l'étranger.	I participated in a student exchange program to spend a semester abroad.
bêtement	stupidly	Il a agi bêtement en oubliant son téléphone à la maison.	He acted stupidly by forgetting his phone at home.
crevé	exhausted	Après avoir couru le marathon, j'étais complètement crevé et j'ai dû m'asseoir pour me reposer.	After running the marathon, I was completely exhausted and had to sit down to rest.
obligatoire	mandatory	Le port de la ceinture de sécurité est obligatoire pour tous les passagers dans une voiture.	Wearing a seatbelt is mandatory for all passengers in a car.
symptôme	symptom	La fièvre est un symptôme courant de la grippe.	Fever is a common symptom of the flu.
restriction	restriction	Le gouvernement a imposé des restrictions sur les voyages internationaux pour ralentir la propagation de la maladie.	The government imposed restrictions on international travel to slow the spread of the disease.
flocon	flake	La neige est tombée doucement sous forme de flocons délicats qui ont recouvert le paysage d'un manteau blanc.	The snow fell gently in delicate flakes that covered the landscape with a white blanket.
épeler	spell	Pour m'aider à mémoriser le mot, je vais l'épeler plusieurs fois.	To help me memorize the word, I'll spell it out several times.
figurine	figurine	La petite fille a reçu une figurine de son personnage de dessin animé préféré pour son anniversaire.	The little girl received a figurine of her favorite cartoon character for her birthday.
media	media	Les médias sociaux ont joué un rôle important dans la diffusion de l'information pendant la crise.	Social media played a crucial role in disseminating information during the crisis.
justement	precisely	J'ai demandé à mon ami de m'attendre à 17 heures précises et il est arrivé justement à l'heure.	I asked my friend to meet me at 5 o'clock sharp and he arrived precisely on time.
stimulant	stimulant	Le café est un stimulant qui m'aide à rester éveillé pendant les longues nuits d'étude.	Coffee is a stimulant that helps me stay awake during long study nights.
tomber	fall	Le livre est tombé de l'étagère et s'est ouvert à la page 10.	The book fell off the shelf and opened to page 10.
cauchemar	nightmare	J'ai fait un cauchemar cette nuit et je me suis réveillé en sueur.	I had a nightmare last night and woke up in a sweat.
chiche	dare	Je l'ai défié, mais il n'a pas osé le faire, il n'est pas très chiche.	I dared him, but he didn't do it, he's not very daring.
on	we	Nous allons au parc, et on emmène un pique-nique.	We're going to the park, and we're bringing a picnic.
zombie	zombie	Le film d'horreur mettait en scène une armée de zombies qui envahissaient la ville.	The horror movie featured an army of zombies invading the city.
frisson	shiver	Je ressens un frisson chaque fois que j'écoute ma chanson préférée.	I get a shiver every time I listen to my favorite song.
prolonger	extend	La compagnie a décidé de prolonger la période de garantie pour les nouveaux produits.	The company decided to extend the warranty period for new products.
patient	patient	Le médecin a demandé au patient de prendre un médicament pour soulager la douleur.	The doctor asked the patient to take medication to relieve the pain.
assommer	knock	Le boxeur a réussi à assommer son adversaire avec un seul coup de poing.	The boxer managed to knock his opponent out with a single punch.
hamac	hammock	J'ai passé l'après-midi à me reposer dans un hamac sous les palmiers.	I spent the afternoon resting in a hammock under the palm trees.
ver	worm	Le jardinier a trouvé un ver dans le sol de son jardin.	The gardener found a worm in the soil of his garden.
passionnant	exciting	Le nouveau film d'aventure est passionnant et plein d'action.	The new adventure movie is exciting and full of action.
