fra	eng	example.gpt4_src	example.gpt4_tgt	Typical	Informative	Intelligible	Translation correct	Overall rating	Comment
trotter	trot	Le cheval a commencé à trotter autour du champ.	The horse started to trot around the field.	Yes	Yes	Yes	Yes	5 Very good	
expansion	expansion	L'expansion de l'entreprise a permis de créer de nombreux emplois dans la région.	The expansion of the company has created many jobs in the region.	Yes	Yes	Yes	Yes	5 Very good	
échange	exchange	Nous avons fait un échange de cadeaux lors de la fête de Noël.	We did a gift exchange during the Christmas party.	Yes	Yes	Yes	Yes	5 Very good	
bêtement	stupidly	Il a bêtement oublié ses clés à la maison.	He stupidly forgot his keys at home.	Yes	Yes	Yes	Yes	5 Very good	
crevé	exhausted	Après une longue journée de travail, je suis complètement crevé.	After a long day at work, I am completely exhausted.	Yes	Yes	Yes	Yes	5 Very good	
obligatoire	mandatory	Le port du casque est obligatoire pour tous les cyclistes.	Wearing a helmet is mandatory for all cyclists.	Yes	Yes	Yes	Yes	5 Very good	
symptôme	symptom	Les maux de tête sont un symptôme courant de la grippe.	Headaches are a common symptom of the flu.	Yes	Yes	Yes	Yes	5 Very good	
restriction	restriction	En raison de la pandémie, le gouvernement a imposé des restrictions de voyage.	Due to the pandemic, the government imposed travel restrictions.	Yes	Yes	Yes	Yes	5 Very good	
flocon	flake	Un flocon de neige est tombé doucement sur le sol.	A snowflake gently fell to the ground.	Yes	Yes	Yes	Yes	5 Very good	
épeler	spell	Peux-tu épeler ton nom, s'il te plaît ?	Can you spell your name, please?	Yes	Yes	Yes	Yes	5 Very good	
figurine	figurine	Elle a acheté une belle figurine en porcelaine pour sa collection.	She bought a beautiful porcelain figurine for her collection.	Yes	Yes	Yes	Yes	5 Very good	
media	media	Les médias jouent un rôle crucial dans la diffusion de l'information.	The media play a crucial role in the dissemination of information.	Yes	Yes	Yes	Yes	5 Very good	
justement	precisely	C'est justement ce que je voulais dire.	That's precisely what I wanted to say.	Yes	Somewhat	Yes	Yes	5 Very good	
stimulant	stimulant	Le café est un stimulant populaire pour commencer la journée.	Coffee is a popular stimulant to start the day.	Yes	Yes	Yes	Yes	5 Very good	
tomber	fall	Il a glissé sur une peau de banane et est tombé par terre.	He slipped on a banana peel and fell to the ground.	Yes	Yes	Yes	Yes	5 Very good	
cauchemar	nightmare	J'ai fait un cauchemar terrible la nuit dernière, et je me suis réveillé en sueur.	I had a terrible nightmare last night, and I woke up in a sweat.	Yes	Yes	Yes	Yes	5 Very good	
chiche	dare	Tu veux parier sur le résultat du match ? Chiche !	Do you dare to bet on the outcome of the game? Dare!	Yes	Yes	Somewhat	Somewhat	3 Average	
on	we	On va au cinéma ce soir.	We are going to the cinema tonight.	Yes	Yes	Yes	Yes	5 Very good	
zombie	zombie	Le film d'horreur mettait en scène un groupe de zombies attaquant une petite ville.	The horror movie featured a group of zombies attacking a small town.	Yes	Yes	Yes	Yes	5 Very good	
frisson	shiver	Elle a ressenti un frisson en entendant le bruit étrange dans la maison.	She felt a shiver when she heard the strange noise in the house.	Yes	Yes	Yes	Yes	5 Very good	
prolonger	extend	Nous devons prolonger notre séjour à Paris de deux jours.	We need to extend our stay in Paris by two days.	Yes	Yes	Yes	Somewhat	4 Good	
patient	patient	Le médecin a demandé au patient d'attendre dans la salle d'attente.	The doctor asked the patient to wait in the waiting room.	Yes	Yes	Yes	Yes	5 Very good	
assommer	knock	Le boxeur a réussi à assommer son adversaire avec un coup puissant.	The boxer managed to knock out his opponent with a powerful punch.	Yes	Yes	Yes	Yes	5 Very good	
hamac	hammock	J'adore lire un livre en me balançant doucement dans mon hamac.	I love reading a book while gently swaying in my hammock.	Yes	Yes	Yes	Yes	5 Very good	
ver	worm	Le ver de terre est essentiel pour la santé du sol.	The earthworm is essential for soil health.	Yes	Yes	Yes	Somewhat	4 Good	
passionnant	exciting	Le film était tellement passionnant que je ne pouvais pas détourner les yeux de l'écran.	The movie was so exciting that I couldn't take my eyes off the screen.	Yes	Yes	Yes	Yes	5 Very good	
									
								4.74	
