tdt	eng	example.gpt4_src	example.gpt4_tgt	Typical	Informative	Intelligible	Translation correct	Overall rating	Comment
sékulu	century	Iha sékulu ne'e, Timor-Leste hetan independénsia hosi Indonézia.	In this century, Timor-Leste gained independence from Indonesia.	Somewhat	Somewhat	Somewhat	Yes	3 Average	
sai	exit, leave	Nia sai hosi uma tuku hitu dader.	He leaves the house at seven in the morning.	Yes	Yes	Yes	Yes	5 Very good	
estudante	student	Estudante sira iha universidade ne'e aprende kona-ba sains no teknologia.	The students at this university are learning about science and technology.	Somewhat	Somewhat	Yes	Yes	3 Average	
dadeer	morning	Hau gosta hemu kafe iha dadeer.	I like to drink coffee in the morning.	Yes	Yes	Yes	Yes	5 Very good	
kolektivu	collective	Ita nia kolektivu halo servisu hamutuk hodi ajuda komunidade.	Our collective works together to help the community.	No	No	No	Yes	2: Pretty bad	
konkorda	agree	Sira hotu-hotu konkorda ho plano ida-ne'e.	They all agree with this plan.	Yes	Somewhat	Yes	Yes	4 Good	
notísia	news	Notísia ne'e importante atu hatene kona-ba situasaun polítika iha Timor-Leste.	This news is important to understand the political situation in Timor-Leste.	Yes	Somewhat	Yes	Yes	4 Good	
bele	can, be able to	Ita bele baa merkadu aban dadeer.	We can go to the market tomorrow morning.	Yes	Somewhat	Yes	Yes	4 Good	
órgaun	organ	Orgaun governu nian halo desizaun importante ba nasaun.	The government organ makes important decisions for the nation.	Yes	Somewhat	Yes	Yes	4 Good	
parke	park	Ita bele halimar iha parke nee.	You can relax in this park.	Yes	Yes	Yes	No	4 Good	
domisíliu	residence	Sira nia domisíliu iha Dili, maibé sira la bele fila ba iha loron-loron.	Their residence is in Dili, but they cannot return every day.	No	No	No	Yes	2: Pretty bad	
interrogatóriu	questioning	Polísia halo interrogatóriu ba ema ne'ebé suspeitu iha krime ne'e.	The police conducted a questioning of the person suspected in the crime.	Yes	Somewhat	Yes	Yes	4 Good	
kandidata	candidate	Maria mak kandidata ba prezidente iha eleisaun tinan ida oin.	Maria is a candidate for president in the upcoming election.	Yes	Yes	Yes	Yes	5 Very good	
insidensia	insidence	Insidensia ne'e maka la'o ba polísia atu buka solusaun.	This incident was reported to the police to find a solution.	No	No	No	No	1: Bad	
kompañia	company	Ami nia kompaniia nian iha Dili.	Our company is located in Dili.	No	No	No	No	1: Bad	
madrugada	pre-dawn	Hau gosta lao iha madrugada tanba iha tempu ne'ebá ema seidauk barak.	I like to walk during the pre-dawn hours because there aren't many people around.	Yes	Yes	Yes	Yes	5 Very good	
dezlokadu	displaced person	Ema dezlokadu sira ne'e presiza ajuda hodi hetan uma foun.	The displaced persons need help to find new homes.	Yes	Yes	Yes	Yes	5 Very good	
fukun	source	Rai ne'e fukun hosi bee.	This land is the source of water.	No	No	No	Yes	2: Pretty bad	
rezisténsia	resistance	Povu Timor-Leste hatudu rezisténsia ba okupasaun estranjeiru.	The people of Timor-Leste showed resistance to foreign occupation.	Yes	Yes	Yes	Yes	5 Very good	
ambitu	context	Iha ambitu edukasaun, estudante sira tenki aprende lian Tetun no lian Inglez.	In the context of education, students need to learn both Tetun and English.	Yes	Yes	Yes	Yes	5 Very good	
alfándega	customs (for import)	Ami tenki pasa hosi alfándega antes de tama iha Timor-Leste.	We need to go through customs before entering Timor-Leste.	Yes	Somewhat	Yes	Yes	4 Good	
mutin	white	Hau gosta ko'alia ho baju mutin.	I like to wear white clothes.	No	No	No	No	1: Bad	
tinan	year	Hau sei fila ba Timor-Leste iha tinan oin.	I will return to Timor-Leste next year.	Yes	Yes	Yes	Yes	5 Very good	
ha’u-nia	my	Ha’u-nia kareta ne’e foun.	My car is new.	Yes	Yes	Yes	Yes	5 Very good	
rai	country	Timor-Leste mak rai ida ne'ebe iha laran kultura barak.	Timor-Leste is a country rich in culture.	No	Somewhat	Somewhat	Yes	3 Average	
komarka	jail	Nia hela iha komarka tanba nia halo krime.	He is in jail because he committed a crime.	Yes	Yes	Yes	Yes	5 Very good	
aprovizionamentu	procurement	Aprovizionamentu ba projetu ne'e tenki halo ho atensaun atu la bele iha falta.	The procurement for this project must be done carefully to avoid shortages.	Somewhat	Yes	Yes	Yes	4 Good	
traduz	translate	Nia bele traduz livru ne'e ba lian Tetun.	He can translate this book into Tetun.	Yes	Yes	Yes	Yes	5 Very good	
programa	plan, policy	Sira iha programa ida atu ajuda estudante sira iha eskola.	They have a plan to help students in school.	Yes	Somewhat	Yes	Yes	4 Good	
fiskalizasaun	inspection, monitoring	Fiskalizasaun iha merkadu ne'e halo hodi garante katak ema sira la halo violasaun ba lei.	The inspection in this market is conducted to ensure that people do not violate the law.	Yes	Yes	Yes	Yes	5 Very good	
finalizasaun	finalisation	Finalizasaun ba projetu ne'e sei akontese iha fulan oin.	The finalisation of this project will happen next month.	Yes	Yes	Yes	Yes	5 Very good	
espíritu	spirit	Nia iha espíritu forte atu ajuda komunidade.	He has a strong spirit to help the community.	Yes	Yes	Yes	Yes	5 Very good	
