tdt	eng	example.gpt4_src	example.gpt4_tgt	Typical	Informative	Intelligible	Translation correct	Overall rating	Comment
madrugada	pre-dawn	Hau gosta lao iha madrugada tanba iha tempu ne'ebá ema seidauk barak.	I like to walk during the pre-dawn hours because there aren't many people around.	Yes	Yes	Yes	Yes	4 Good	
dezlokadu	displaced person	Ema dezlokadu sira ne'e presiza ajuda hodi hetan uma foun.	The displaced persons need help to find new homes.	Somewhat	Yes	Yes	Yes	4 Good	
fukun	source	Rai ne'e fukun hosi bee.	This land is the source of water.	Somewhat	Somewhat	Somewhat	Somewhat	3 Average	Rai ne’e mak bee-matan hun.
rezisténsia	resistance	Povu Timor-Leste hatudu rezisténsia ba okupasaun estranjeiru.	The people of Timor-Leste showed resistance to foreign occupation.	Yes	Yes	Yes	Yes	4 Good	
ambitu	context	Iha ambitu edukasaun, estudante sira tenki aprende lian Tetun no lian Inglez.	In the context of education, students need to learn both Tetun and English.	Yes	Yes	Yes	Yes	4 Good	
alfándega	customs (for import)	Ami tenki pasa hosi alfándega antes de tama iha Timor-Leste.	We need to go through customs before entering Timor-Leste.	Yes	Yes	Yes	Yes	4 Good	
mutin	white	Hau gosta ko'alia ho baju mutin.	I like to wear white clothes.	No	No	No	No	2: Pretty bad	Ha'u gosta hatais roupa mutin.
tinan	year	Hau sei fila ba Timor-Leste iha tinan oin.	I will return to Timor-Leste next year.	Yes	Yes	Yes	Yes	4 Good	
ha’u-nia	my	Ha’u-nia kareta ne’e foun.	My car is new.	Yes	Yes	Yes	Yes	4 Good	
rai	country	Timor-Leste mak rai ida ne'ebe iha laran kultura barak.	Timor-Leste is a country rich in culture.	Yes	Yes	Yes	No	3 Average	Timor-Leste mak rai ida ne'ebe riku ho kultura barak.
komarka	jail	Nia hela iha komarka tanba nia halo krime.	He is in jail because he committed a crime.	Yes	Yes	Yes	Yes	4 Good	
aprovizionamentu	procurement	Aprovizionamentu ba projetu ne'e tenki halo ho atensaun atu la bele iha falta.	The procurement for this project must be done carefully to avoid shortages.	Yes	Yes	Yes	Yes	5 Very good	
traduz	translate	Nia bele traduz livru ne'e ba lian Tetun.	He can translate this book into Tetun.	Yes	Yes	Yes	Yes	5 Very good	
programa	plan, policy	Sira iha programa ida atu ajuda estudante sira iha eskola.	They have a plan to help students in school.	Yes	Yes	Yes	Yes	5 Very good	
fiskalizasaun	inspection, monitoring	Fiskalizasaun iha merkadu ne'e halo hodi garante katak ema sira la halo violasaun ba lei.	The inspection in this market is conducted to ensure that people do not violate the law.	Yes	Yes	Yes	Yes	5 Very good	
finalizasaun	finalisation	Finalizasaun ba projetu ne'e sei akontese iha fulan oin.	The finalisation of this project will happen next month.	Yes	Yes	Yes	Yes	5 Very good	
espíritu	spirit	Nia iha espíritu forte atu ajuda komunidade.	He has a strong spirit to help the community.	Yes	Yes	Yes	Yes	5 Very good	
									
								3.98	
