fra	eng	example.llama_src	example.llama_tgt	Typical	Informative	Intelligible	Translation correct	Overall rating	Comment
exaucer	grant	Après avoir examiné la demande, le comité a décidé d'exaucer le souhait de la communauté en finançant le projet.	After reviewing the application, the committee decided to grant the community's wish by funding the project.	Yes	Yes	Somewhat	Yes	4 Good	
draguer	flirt	Il a passé la soirée à draguer les filles au bar, mais aucune ne semblait intéressée.	He spent the evening flirting with the girls at the bar, but none of them seemed interested.	Yes	Yes	Yes	Somewhat	4 Good	
avaler	swallow	Il a avalé son médicament avec un grand verre d'eau.	He swallowed his medication with a large glass of water.	Yes	Yes	Yes	Yes	5 Very good	
grippe	flu	J'ai attrapé la grippe pendant les vacances et j'ai dû passer une semaine au lit.	I caught the flu during the holidays and had to spend a week in bed.	Yes	Yes	Yes	Yes	5 Very good	
saucisson	sausage	J'ai acheté un saucisson sec pour accompagner le fromage et le pain.	I bought a dry sausage to go with the cheese and bread.	Yes	Yes	Yes	Somewhat	4 Good	
progéniture	offspring	Les parents sont fiers de leur progéniture qui a obtenu d'excellents résultats scolaires.	The parents are proud of their offspring who have achieved excellent academic results.	Somewhat	Yes	Yes	Yes	4 Good	
meuble	furniture	J'ai acheté un nouveau meuble pour mon salon.	I bought a new piece of furniture for my living room.	Yes	Somewhat	Yes	Yes	4 Good	
sirop	syrup	J'ajoute un peu de sirop d'érable dans mon café pour le sucrer.	I add a little maple syrup to my coffee to sweeten it.	Yes	Yes	Yes	Yes	5 Very good	
fortune	fortune	Il a fait fortune dans l'immobilier après avoir investi dans plusieurs propriétés lucratives.	He made a fortune in real estate after investing in several lucrative properties.	Yes	Yes	Yes	Somewhat	4 Good	
bus	bus	Je prends le bus pour aller au travail tous les matins.	I take the bus to go to work every morning.	Yes	Yes	Yes	Somewhat	4 Good	
collaboration	collaboration	La collaboration entre les chercheurs de différents pays a permis de faire des découvertes importantes dans le domaine de la médecine.	The collaboration between researchers from different countries led to significant discoveries in the field of medicine.	Yes	Yes	Somewhat	Yes	4 Good	
trotter	trot	Le cheval a commencé à trotter doucement autour du champ.	The horse began to trot gently around the field.	Yes	Yes	Yes	Somewhat	4 Good	
expansion	expansion	La société a annoncé une expansion de ses activités en Asie pour le prochain trimestre.	The company announced an expansion of its operations in Asia for the next quarter.	Yes	Yes	Yes	Yes	5 Very good	
échange	exchange	J'ai participé à un programme d'échange étudiant pour passer un semestre à l'étranger.	I participated in a student exchange program to spend a semester abroad.	Yes	Yes	Yes	Somewhat	4 Good	
bêtement	stupidly	Il a agi bêtement en oubliant son téléphone à la maison.	He acted stupidly by forgetting his phone at home.	Yes	Yes	Yes	Yes	5 Very good	
crevé	exhausted	Après avoir couru le marathon, j'étais complètement crevé et j'ai dû m'asseoir pour me reposer.	After running the marathon, I was completely exhausted and had to sit down to rest.	Yes	Yes	Yes	Yes	5 Very good	
obligatoire	mandatory	Le port de la ceinture de sécurité est obligatoire pour tous les passagers dans une voiture.	Wearing a seatbelt is mandatory for all passengers in a car.	Yes	Yes	Yes	Yes	5 Very good	
symptôme	symptom	La fièvre est un symptôme courant de la grippe.	Fever is a common symptom of the flu.	Yes	Yes	Yes	Yes	5 Very good	
restriction	restriction	Le gouvernement a imposé des restrictions sur les voyages internationaux pour ralentir la propagation de la maladie.	The government imposed restrictions on international travel to slow the spread of the disease.	Yes	Yes	Yes	Yes	5 Very good	
flocon	flake	La neige est tombée doucement sous forme de flocons délicats qui ont recouvert le paysage d'un manteau blanc.	The snow fell gently in delicate flakes that covered the landscape with a white blanket.	Yes	Yes	Yes	Yes	5 Very good	
épeler	spell	Pour m'aider à mémoriser le mot, je vais l'épeler plusieurs fois.	To help me memorize the word, I'll spell it out several times.	Yes	Yes	Yes	Somewhat	5 Very good	
figurine	figurine	La petite fille a reçu une figurine de son personnage de dessin animé préféré pour son anniversaire.	The little girl received a figurine of her favorite cartoon character for her birthday.	Yes	Yes	Yes	Yes	5 Very good	
media	media	Les médias sociaux ont joué un rôle important dans la diffusion de l'information pendant la crise.	Social media played a crucial role in disseminating information during the crisis.	Yes	Yes	Yes	Yes	5 Very good	
justement	precisely	J'ai demandé à mon ami de m'attendre à 17 heures précises et il est arrivé justement à l'heure.	I asked my friend to meet me at 5 o'clock sharp and he arrived precisely on time.	Yes	Yes	Yes	Somewhat	4 Good	
stimulant	stimulant	Le café est un stimulant qui m'aide à rester éveillé pendant les longues nuits d'étude.	Coffee is a stimulant that helps me stay awake during long study nights.	Yes	Yes	Yes	Yes	5 Very good	
tomber	fall	Le livre est tombé de l'étagère et s'est ouvert à la page 10.	The book fell off the shelf and opened to page 10.	Yes	Yes	Yes	Somewhat	4 Good	
cauchemar	nightmare	J'ai fait un cauchemar cette nuit et je me suis réveillé en sueur.	I had a nightmare last night and woke up in a sweat.	Yes	Yes	Yes	Yes	5 Very good	
chiche	dare	Je l'ai défié, mais il n'a pas osé le faire, il n'est pas très chiche.	I dared him, but he didn't do it, he's not very daring.	Yes	Yes	Yes	Somewhat	4 Good	
on	we	Nous allons au parc, et on emmène un pique-nique.	We're going to the park, and we're bringing a picnic.	Yes	Yes	Yes	Yes	5 Very good	
zombie	zombie	Le film d'horreur mettait en scène une armée de zombies qui envahissaient la ville.	The horror movie featured an army of zombies invading the city.	Yes	Yes	Yes	Yes	5 Very good	
frisson	shiver	Je ressens un frisson chaque fois que j'écoute ma chanson préférée.	I get a shiver every time I listen to my favorite song.	Yes	Yes	Yes	Somewhat	4 Good	
prolonger	extend	La compagnie a décidé de prolonger la période de garantie pour les nouveaux produits.	The company decided to extend the warranty period for new products.	Yes	Yes	Yes	Yes	5 Very good	
patient	patient	Le médecin a demandé au patient de prendre un médicament pour soulager la douleur.	The doctor asked the patient to take medication to relieve the pain.	Yes	Yes	Yes	Somewhat	4 Good	
assommer	knock	Le boxeur a réussi à assommer son adversaire avec un seul coup de poing.	The boxer managed to knock his opponent out with a single punch.	Yes	Yes	Yes	Somewhat	4 Good	
hamac	hammock	J'ai passé l'après-midi à me reposer dans un hamac sous les palmiers.	I spent the afternoon resting in a hammock under the palm trees.	Yes	Yes	Yes	Yes	5 Very good	
ver	worm	Le jardinier a trouvé un ver dans le sol de son jardin.	The gardener found a worm in the soil of his garden.	Yes	Yes	Yes	Somewhat	4 Good	
passionnant	exciting	Le nouveau film d'aventure est passionnant et plein d'action.	The new adventure movie is exciting and full of action.	Yes	Somewhat	Yes	Yes	5 Very good	
									
								4.5	
