ind	eng	example.llama_src	example.llama_tgt	Typical	Informative	Intelligible	Translation correct	Overall rating	Comment
disalahkan	blamed	Ia disalahkan atas kegagalan proyek tersebut karena kurangnya pengawasan.	He was blamed for the project's failure due to lack of oversight.	Yes	Yes	Yes	Yes	5 Very good	
status	status	Setelah menyelesaikan pendidikan S2, status sosialnya meningkat di masyarakat.	After completing her master's degree, her social status increased in the community.	Yes	Yes	Yes	Yes	5 Very good	
tabungan	savings	Ia memiliki tabungan yang cukup untuk membeli rumah impianya.	She has enough savings to buy her dream house.	Yes	Somewhat	Yes	Yes	4 Good	Unclear that 'tabungan' is money set aside over a period of time
perapian	fireplace	Pada malam yang dingin, kami mengumpul di sekitar perapian untuk berbagi cerita dan minum teh hangat.	On a cold night, we gathered around the fireplace to share stories and drink hot tea.	Yes	Yes	Somewhat	Yes	4 Good	Berkumpul' is more appropriate
meriam	cannon	Tentara menggunakan meriam untuk menghancurkan benteng musuh.	The army used cannons to destroy the enemy's fortress.	Yes	Yes	Yes	Yes	5 Very good	
kelihatannya	apparently	Kelihatannya dia tidak akan datang ke pesta malam ini karena sakit.	Apparently, he won't be coming to the party tonight because he's sick.	Yes	Somewhat	Yes	Yes	4 Good	Doesn't show the difference from 'sayangnya' (EN: unfortunately)
biarkan	let	Biarkan anak itu bermain sendiri di taman.	Let the child play alone in the park.	Yes	Yes	Yes	Yes	5 Very good	
mahal	expensive	Saya tidak bisa membeli mobil itu karena harganya terlalu mahal.	I couldn't buy that car because it was too expensive.	Yes	Yes	Yes	Yes	5 Very good	
kekhawatiran	concern	Kekhawatiran tentang perubahan iklim global semakin meningkat setelah terjadinya beberapa bencana alam besar.	Concern about global climate change has increased after several major natural disasters occurred.	Yes	Yes	Somewhat	Yes	4 Good	Iklim'/'climate' may be a difficult word for Indonesian/English learners respectively
tahu	know	Saya tahu bahwa dia akan datang hari ini.	I know that he will come today.	Yes	No	Yes	Yes	3 Average	Unclear that 'tahu' is about having knowledge of something
lusa	day after tomorrow	Saya berencana untuk pergi ke pantai lusa karena cuacanya diperkirakan akan cerah.	I plan to go to the beach the day after tomorrow because the weather is expected to be sunny.	Yes	Somewhat	Yes	Yes	4 Good	Although reference to the future is mentioned, it's still unclear that 'lusa' is exactly 2 days ahead
tertua	oldest	Di antara lima bersaudara, dia adalah yang tertua.	Among the five siblings, she is the oldest.	Yes	No	Yes	Yes	3 Average	Unclear that 'tertua' is about age
mendirikan	establish	Pemerintah berencana untuk mendirikan sebuah universitas baru di kota tersebut.	The government plans to establish a new university in the city.	Yes	Yes	Yes	Yes	5 Very good	
dahsyat	awesome	Konser musik rock itu sangat dahsyat dan membuat penonton bersemangat.	The rock music concert was truly awesome and got the audience excited.	Yes	Yes	Yes	Yes	5 Very good	
goreng	fried	Ibu membuat ayam goreng untuk makan malam.	Mother made fried chicken for dinner.	Yes	No	Yes	Yes	3 Average	Unclear that 'goreng' is about method of cooking
merindukan	miss	Saya merindukan ibu saya yang sedang berada di luar negeri.	I miss my mother who is currently abroad.	Yes	No	Yes	Yes	3 Average	Unclear that 'merindukan' is a feeling rather than, say, activity (e.g., 'mendoakan' [EN: pray for])
pemakaman	funeral	Keluarga dan teman-teman berkumpul di pemakaman untuk mengucapkan selamat tinggal kepada almarhum.	Family and friends gathered at the funeral to bid farewell to the deceased.	Yes	Yes	Yes	Yes	5 Very good	
menggonggong	bark	Anjing itu menggonggong keras ketika melihat orang asing di depan rumah.	The dog barked loudly when it saw a stranger in front of the house.	Yes	Yes	Yes	Yes	5 Very good	
tangan	hand	Saya menggunakan tangan kiri saya untuk menulis.	I use my left hand to write.	Yes	Yes	Yes	Yes	5 Very good	
surga	heaven	Setelah meninggal, banyak orang percaya bahwa jiwa yang baik akan pergi ke surga.	After passing away, many people believe that a good soul will go to heaven.	Yes	Yes	Yes	Somewhat	4 Good	A more natural ID translation may replace 'jiwa' with 'orang' (EN: person) and 'pergi ke' with 'masuk' (EN: enter)
flu	flu	Saya tidak bisa masuk kerja hari ini karena saya terkena flu.	I won't be able to come to work today because I have the flu.	Yes	Somewhat	Yes	Yes	4 Good	Doesn't show difference from 'cacar' (EN: chickenpox), 'diare' (EN: diarrhea), etc but suggests an illness
melemah	weaken	Karena kurangnya olahraga, otot-ototku mulai melemah.	Due to the lack of exercise, my muscles started to weaken.	Yes	Yes	Yes	Yes	5 Very good	
menghormati	honor	Kami menghormati jasa para pahlawan yang telah gugur dalam perang kemerdekaan.	We honor the sacrifices of the heroes who died in the war for independence.	Yes	Somewhat	Yes	Yes	4 Good	Doesn't show difference from 'mengenang' (EN: remember) etc but mentioning 'pahlawan' (EN: heroes) and 'kemerdekaan' (EN: independence) is good
kota-kota	cities	Beberapa kota-kota besar di Indonesia memiliki sistem transportasi umum yang baik.	Several major cities in Indonesia have good public transportation systems.	Yes	Somewhat	Yes	Yes	4 Good	Doesn't show difference from 'provinsi' (EN: province) etc but shows that it has something to do with level of government
depresi	depression	Ia menderita depresi setelah kehilangan pekerjaannya dan membutuhkan dukungan dari keluarga dan teman-temannya.	She suffered from depression after losing her job and needed support from her family and friends.	Yes	Somewhat	Yes	Yes	4 Good	Doesn't show difference from other mental illnesses but shows seriousness by using 'menderita' (EN: suffer from)
topi	hat	Saya memakai topi untuk melindungi kepala saya dari sinar matahari.	I wear a hat to protect my head from the sun.	Yes	Somewhat	Yes	Yes	4 Good	Doesn't show difference from 'payung' (EN: umbrella)
anak-anak	children	Orang tua harus selalu mengawasi anak-anak mereka saat bermain di taman.	Parents should always supervise their children when they play in the park.	Yes	Yes	Yes	Yes	5 Very good	
mendatangkan	bring	Konser musik itu mendatangkan ribuan penggemar dari seluruh kota.	The music concert brought thousands of fans from all over the city.	Yes	Somewhat	Yes	Yes	4 Good	Doesn't show difference from 'menghibur' (EN: entertain)
									
								4.2	
